project_code,guid,label_ifc_entity__true,label_ifc_entity__rf_pred,label_ifc_entity__xgboost_pred,label_ifc_entity__nn_pred,label_ifc_entity__ensemble_pred,label_predefined_type__true,label_predefined_type__rf_pred,label_predefined_type__xgboost_pred,label_predefined_type__nn_pred,label_predefined_type__ensemble_pred,label_is_external__true,label_is_external__rf_pred,label_is_external__xgboost_pred,label_is_external__nn_pred,label_is_external__ensemble_pred,label_load_bearing__true,label_load_bearing__rf_pred,label_load_bearing__xgboost_pred,label_load_bearing__nn_pred,label_load_bearing__ensemble_pred,label_ifc_entity__ensemble_voted_by,label_predefined_type__ensemble_voted_by,label_is_external__ensemble_voted_by,label_load_bearing__ensemble_voted_by,aabb_min_x,aabb_min_y,aabb_min_z,aabb_max_x,aabb_max_y,aabb_max_z,aabb_len_x,aabb_len_y,aabb_len_z,aabb_ratio_z_x,aabb_ratio_z_y,aabb_ratio_x_y,aabb_diagonal,aabb_volume,geom_volume,geom_surface_area,geom_projected_area,geom_centroid_x,geom_centroid_y,geom_centroid_z,geom_z_min,geom_z_max,geom_z_range,geom_ratio_area_vol,geom_compactness,geom_layer_count,tfbb_extent_0,tfbb_extent_1,tfbb_extent_2,tfbb_volume,tfbb_ratio_01,tfbb_ratio_02,tfbb_ratio_12,tfbb_linearity,tfbb_planarity,tfbb_sphericity,tfbb_primary_ax_x,tfbb_primary_ax_y,tfbb_primary_ax_z,topo_vertex_count,topo_face_count,topo_unique_edge_count,topo_euler_characteristic,topo_genus,topo_max_face_area,topo_avg_face_area,topo_vertex_edge_ratio,topo_connected_components,mat_allgemein,mat_aluminium,mat_backstein,mat_bekleidung,mat_belag,mat_beton,mat_dämm,mat_foamglas,mat_gips,mat_glas,mat_holz,mat_werkstoff,mat_kalksandstein,mat_keramik,mat_kies,mat_kunststein,mat_kunststoff,mat_metall,mat_mörtel,mat_naturstein,mat_putz,mat_stahl,mat_zement,horizontal_elements_above,horizontal_elements_below
LUMU,0BlZmQxPnAiOxuUM1rWo44,IfcColumn,IfcWall,IfcColumn,IfcColumn,IfcColumn,NOTDEFINED,NOTDEFINED,NOTDEFINED,COLUMN,NOTDEFINED,false,false,true,false,false,unknown,true,true,true,true,xgboost|nn,rf|xgboost,rf|nn,rf|xgboost|nn,-0.1775000000000002,-0.3275000000000006,0.01780086038867834,0.1774999999999999,0.3275000000000006,2.16,0.3550000000000001,0.6550000000000012,2.142199139611322,6.034363773553018,3.270533037574531,0.5419847328244266,2.2680536046909228,0.4981148549381237,0.4401363145321189,4.90736801481682,0.23252500000000045,5.400285929215644e-06,-0.00014559611145274006,1.0506988910425192,0.01780086038867834,2.16,2.142199139611322,11.14965489733228,0.5701996743332918,2.0,2.14240778132234,0.6553428135459338,0.35500821856162257,0.4984356367823283,3.2691405735117227,6.034811785492396,1.845993358128916,0.8277870057334912,0.1250635026990952,0.04714949156741369,-7.84958791595903e-06,0.00032858340757697566,0.9999999459856629,16.0,24.0,36.0,4.0,0.0,0.3429577182227085,0.20447366728403416,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
LUMU,26fWDTsbT5mvVvr0B3nI$3,IfcColumn,IfcColumn,IfcColumn,IfcColumn,IfcColumn,NOTDEFINED,NOTDEFINED,NOTDEFINED,NOTDEFINED,NOTDEFINED,false,false,true,false,false,unknown,true,true,true,true,rf|xgboost|nn,rf|xgboost|nn,rf|nn,rf|xgboost|nn,-0.2275,-0.1824999999999992,0.0,0.2274999999999991,0.1824999999999992,2.18,0.45499999999999907,0.3649999999999984,2.18,4.791208791208802,5.972602739726054,1.2465753424657564,2.256690054039322,0.3620434999999977,0.30658874999999897,3.847549999999993,0.16607499999999892,-3.4400956769120773e-16,3.606915519698115e-18,1.0330651323569553,0.0,2.18,2.18,12.549547235506866,0.5714838940804773,2.0,2.18,0.4549999999999992,0.3649999999999984,0.3620434999999978,4.7912087912088,5.972602739726054,1.2465753424657566,0.9244837665068554,0.02857683573050708,0.046939397762637496,-1.1363657500186391e-16,-2.291764905366066e-16,-1.0,16.0,24.0,36.0,4.0,0.0,0.23887499999999953,0.16031458333333304,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
LUMU,3A$3bUy1fFyvqPVagiBdys,IfcColumn,IfcColumn,IfcWall,IfcColumn,IfcColumn,NOTDEFINED,NOTDEFINED,COLUMN,NOTDEFINED,COLUMN,false,false,false,false,false,unknown,true,true,true,true,rf|nn,xgboost,rf|xgboost|nn,rf|xgboost|nn,-0.2549999999999999,-0.2549999999999999,0.0,0.2549999999999999,0.2549999999999999,2.49,0.5099999999999998,0.5099999999999998,2.49,4.882352941176473,4.882352941176473,1.0,2.5923541424735936,0.6476489999999995,0.5588770483417504,5.624129993057247,0.2600999999999998,-1.3633180195483865e-16,4.9350878535688205e-18,1.1811835556975543,0.0,2.49,2.49,10.063268852683533,0.5834087754972546,2.0,2.49,0.5099999999999999,0.5099999999999999,0.6476489999999998,4.882352941176472,4.882352941176472,1.0,0.9261986794181155,0.0014198697647617247,0.07238145081712273,1.1474025939592258e-16,5.914787437969222e-17,-0.9999999999999999,16.0,24.0,36.0,4.0,0.0,0.32163750600814806,0.23433874971071864,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
LUMU,3NBtKYvV9CdhH3Pxquk9Jd,IfcColumn,IfcColumn,IfcWall,IfcColumn,IfcColumn,NOTDEFINED,NOTDEFINED,COLUMN,COLUMN,COLUMN,false,false,false,false,false,unknown,true,true,true,true,rf|nn,xgboost|nn,rf|xgboost|nn,rf|xgboost|nn,-0.2550000000000008,-0.2549999999999999,0.0,0.2550000000000008,0.2549999999999999,2.49,0.5100000000000016,0.5099999999999998,2.49,4.882352941176456,4.882352941176473,1.0000000000000036,2.5923541424735936,0.6476490000000017,0.5535515000000013,5.590800000000009,0.26010000000000066,0.0,0.0,1.1783048937540244,0.0,2.49,2.49,10.09987327285717,0.5831525637582996,2.0,2.49,0.5100000000000016,0.5099999999999998,0.6476490000000018,4.882352941176456,4.882352941176473,1.0000000000000036,0.9274996404544651,5.488666297694238e-16,0.07250035954553431,0.0,0.0,1.0,16.0,24.0,36.0,4.0,0.0,0.3113000000000009,0.23295000000000035,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
LUMU,3F476DcY98JhGvLhMRDZbD,IfcColumn,IfcWall,IfcWall,IfcWall,IfcWall,NOTDEFINED,NOTDEFINED,NOTDEFINED,NOTDEFINED,NOTDEFINED,false,false,false,false,false,unknown,true,true,true,true,rf|xgboost|nn,rf|xgboost|nn,rf|xgboost|nn,rf|xgboost|nn,-0.2250000000020904,-0.1000000000000014,0.02088645584319826,0.2250000000000014,0.09999999999999964,2.373657792551,0.4500000000020918,0.20000000000000104,2.352771336707802,5.228380748215256,11.763856683538949,2.250000000010447,2.4037539314238674,0.21174942030468757,0.17660210485220065,3.102390272347022,0.0900000000002095,5.918617372042939e-05,0.008545243349623713,1.1373935931134234,0.02088645584319826,2.373657792551,2.352771336707802,17.567119457287504,0.490664847148038,2.0,2.3540315438490453,0.45008869746187247,0.20554881936763214,0.21778369996591868,5.23015031731264,11.452420651654377,2.189692447986632,0.9377587207723358,0.05010827901026658,0.012133000217397664,9.821693956516697e-05,-0.006330563605889406,-0.9999799569580707,16.0,24.0,36.0,4.0,0.0,0.28691349547238293,0.1292662613477926,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
LUMU,13gn9zovv9vfQj48oK1MGV,IfcColumn,IfcColumn,IfcColumn,IfcColumn,IfcColumn,NOTDEFINED,NOTDEFINED,NOTDEFINED,COLUMN,COLUMN,false,false,false,false,false,unknown,true,true,true,true,rf|xgboost|nn,nn,rf|xgboost|nn,rf|xgboost|nn,-0.1649999999999991,-0.1750000000000007,0.004056093246164849,0.1650000000000027,0.1750000000000007,2.387438458050916,0.3300000000000018,0.3500000000000014,2.383382364804751,7.2223708024386,6.809663899442118,0.9428571428571442,2.431442266816609,0.27528066313495136,0.23354451269261137,3.3730857270892587,0.11550000000000103,6.430086809313641e-05,-1.8956912515869385e-05,1.1351833597327445,0.004056093246164849,2.387438458050916,2.383382364804751,14.443009977840395,0.5437131757208868,2.0,2.38732699848791,0.4137443271572567,0.4346196111591732,0.4292924797559446,5.770053730744037,5.492911357866881,0.951968840185927,0.9683920883748427,0.004570473139138566,0.02703743848601883,-0.0308728063780163,-0.00023508832749157013,0.9995232936554426,24.0,40.0,60.0,4.0,0.0,0.19714250130614377,0.08432714317723147,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
LUMU,08HVU7Lw5FzxosKnIoMWXW,IfcColumn,IfcColumn,IfcWall,IfcColumn,IfcColumn,NOTDEFINED,NOTDEFINED,NOTDEFINED,COLUMN,NOTDEFINED,false,false,true,false,false,unknown,true,true,true,true,rf|nn,rf|xgboost,rf|nn,rf|xgboost|nn,-0.2249999999999996,-0.1750000000000007,0.00932846730593262,0.2249999999999996,0.1750000000000007,2.283916502346554,0.4499999999999992,0.3500000000000014,2.2745880350406216,5.054640077868057,6.498822957258892,1.285714285714278,2.3449415193454093,0.3582476155188987,0.3035467719339856,3.880621542762171,0.15750000000000036,6.765551014381036e-05,-5.0133139408814045e-05,1.088429198077182,0.00932846730593262,2.283916502346554,2.2745880350406216,12.784262267187332,0.5628593869991826,2.0,2.272621399847076,0.4998015211971909,0.4074400143489331,0.4627946650655686,4.547047784895476,5.577806105957955,1.2266873738354993,0.940829888746599,0.02144825902949535,0.03772185222390557,-0.006979554420525745,0.00016525039514367603,0.999975628959225,18.0,28.0,42.0,4.0,0.0,0.2382001749801705,0.13859362652722038,0.42857142857142855,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
LUMU,3RbbO0lwbF3guaxJZL9oAW,IfcColumn,IfcWall,IfcWall,IfcColumn,IfcWall,NOTDEFINED,NOTDEFINED,SOLIDWALL,NOTDEFINED,NOTDEFINED,false,false,true,false,false,unknown,true,true,true,true,rf|xgboost,rf|nn,rf|nn,rf|xgboost|nn,-0.3425000000000011,-0.1800000000000015,0.0,0.3424999999999994,0.1799999999999997,2.135,0.6850000000000005,0.3600000000000012,2.135,3.116788321167881,5.930555555555535,1.9027777777777728,2.2709139129434215,0.5264910000000022,0.46945923523767685,5.134044117168167,0.2466000000000004,-0.008644233130632461,-5.460243568621242e-16,1.0326764203257195,0.0,2.135,2.135,10.936080775083514,0.5689705478443284,2.0,2.142022511091082,0.6957486275161482,0.3600000000000021,0.5365113199921161,3.0787304873862165,5.950062530808527,1.9326350764337337,0.8046591156365444,0.14719076165636927,0.04815012270708642,-0.010421085693527175,1.1104400549701307e-15,0.9999456990121853,16.0,24.0,36.0,4.0,0.0,0.35704705872946146,0.21391850488200695,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
LUMU,288JUe5RDDiOem2Z7If$dk,IfcColumn,IfcColumn,IfcWall,IfcColumn,IfcColumn,NOTDEFINED,NOTDEFINED,NOTDEFINED,NOTDEFINED,NOTDEFINED,false,false,true,false,false,unknown,true,true,true,true,rf|nn,rf|xgboost|nn,rf|nn,rf|xgboost|nn,-0.2249999999999996,-0.1799999999999997,0.007610606537790332,0.2249999999999996,0.1799999999999997,2.336375361030651,0.4499999999999992,0.3599999999999994,2.3287647544928607,5.175032787761922,6.468790984702402,1.2499999999999998,2.3990092291961265,0.37725989022784207,0.31477079852403267,3.9871189032034025,0.16199999999999942,0.00012042831615939908,-3.167383554062166e-05,1.1060988118496353,0.007610606537790332,2.336375361030651,2.3287647544928607,12.666736946054375,0.5612476828976465,2.0,2.328794515193202,0.4501934755508731,0.3601154002900259,0.3775479013883274,5.17287486750803,6.466800679220223,1.2501366928165278,0.9346041357112451,0.025984987159743872,0.03941087712901102,-0.0001818322754926017,-0.00010851654810694849,-0.9999999775805913,16.0,24.0,36.0,4.0,0.0,0.24689447589948202,0.16612995430014177,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
LUMU,27zdrW83z5zuCVGMruFgL9,IfcColumn,IfcColumn,IfcWall,IfcColumn,IfcColumn,NOTDEFINED,NOTDEFINED,SOLIDWALL,COLUMN,NOTDEFINED,false,false,true,false,false,unknown,true,true,true,true,rf|nn,rf,rf|nn,rf|xgboost|nn,-0.2300000000000022,-0.1799999999999997,0.0,0.2299999999999995,0.1799999999999997,2.135,0.46000000000000174,0.3599999999999994,2.135,4.641304347826069,5.930555555555565,1.2777777777777848,2.2134644790463662,0.35355600000000065,0.3035270201295177,3.8097116859474225,0.16560000000000033,-1.35828654644031e-15,1.4570958594062998e-17,1.016576277021744,0.0,2.135,2.135,12.551474607834862,0.5733109718435788,2.0,2.135,0.46000000000000363,0.3600000000000016,0.3535560000000043,4.64130434782605,5.930555555555529,1.2777777777777821,0.9184451189874039,0.033400550329834126,0.048154330682761946,2.120557345108863e-16,-4.1656310884298663e-16,0.9999999999999998,16.0,24.0,36.0,4.0,0.0,0.23805000000000087,0.15873798691447594,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
